数据库表型	标准项目名称
抗中性粒细胞抗体核周型	PANCA
pH	pH
PH(ST)	pH
pHst	pH
pH值	pH
RH血型鉴定	RH血型鉴定
SCC鳞癌相关抗原	SCC鳞癌相关抗原
鳞癌相关抗原(SCC)	SCC鳞癌相关抗原
T+B+NK	T+B+NK细胞
T+B+NK细胞	T+B+NK细胞
VCA-IgA	VCA-IgA
α1球蛋白	α1球蛋白
α2球蛋白	α2球蛋白
α肿瘤坏死因子	α肿瘤坏死因子
B-内酰胺酶	β-内酰胺酶
β球蛋白	β球蛋白
γ-谷氨酰转肽酶	γ-谷氨酰转肽酶
γ球蛋白	γ球蛋白
找阿米巴	阿米巴
阿米卡星	阿米卡星
氨苄西林	氨苄西林
氨苄西林/舒巴坦	氨苄西林/舒巴坦
氨曲南	氨曲南
白蛋白	白蛋白
血清Alb	白蛋白
白蛋白/球蛋白	白蛋白/球蛋白
白介素-10	白介素-10
白介素-1β	白介素-1β
白介素2受体	白介素2受体
白介素-6	白介素-6
白介素-8	白介素-8
IL-8	白介素-8
白色念珠菌抗原	白色念珠菌抗原
白细胞	白细胞
WBC	白细胞计数（WBC）
白细胞计数	白细胞计数（WBC）
白细胞数	白细胞数
本周氏蛋白	本周氏蛋白
苯唑西林	苯唑西林
比重	比重
cHCO3st	标准碳酸氢盐浓度【HCO3-(std)】
HCO3-(std)	标准碳酸氢盐浓度【HCO3-(std)】
SB	标准碳酸氢盐浓度【HCO3-(std)】
标准碳酸氢盐浓度	标准碳酸氢盐浓度【HCO3-(std)】
丙氨酸氨基转氨酶	丙氨酸氨基转氨酶
丙氨酸氨基转移酶	丙氨酸氨基转氨酶
丙肝病毒RNA	丙肝病毒RNA
丙型肝炎抗体IgG	丙型肝炎抗体IgG
丙型肝炎抗体IgG(化学发光法)	丙型肝炎抗体IgG
病理管型	病理管型
补体C3	补体C3
补体C4	补体C4
UIBC	不饱和铁结合力
测试管IFN-γ（T）	测试管IFN-γ（T）
血清层粘连蛋白(LN)	层粘连蛋白(LN)
ESBL检测	超广谱β-内酰胺酶检测
超氧化物歧化酶SOD	超氧化物歧化酶
虫卵	虫卵
触珠蛋白	触珠蛋白
促甲状腺激素TSH	促甲状腺激素(TSH)
促甲状腺激素受体抗体	促甲状腺激素受体抗体（TRAb）
促甲状腺素受体抗体(Anti-TSHR)	促甲状腺素受体抗体(Anti-TSHR)
促肾上腺皮质激素(ACTH)上午(7:00-10:00)	促肾上腺皮质激素上午(7:00-10:00)
催乳素(PRL)	催乳素(PRL)
大便阿米巴	大便阿米巴
大便沉淀法集卵	大便沉淀法集卵
大便霉菌涂片	大便霉菌涂片
P-LCR	大血小板比率（P-LCR）
大血小板	大血小板比率（P-LCR）
大血小板细胞比率	大血小板比率（P-LCR）
HSV-ⅠIgG	单纯疱疹病毒Ⅰ型抗体IgG
HSV-ⅠIgM	单纯疱疹病毒Ⅰ型抗体IgM
HSV-ⅡIgG	单纯疱疹病毒Ⅱ型抗体IgG
HSV-ⅡIgM	单纯疱疹病毒Ⅱ型抗体IgM
单纯疱疹病毒抗体IgG	单纯疱疹病毒抗体IgG
单纯疱疹病毒抗体IgM	单纯疱疹病毒抗体IgM
MO%	单核细胞百分比
单核细胞	单核细胞百分比
单核	单核细胞百分比
MO#	单核细胞计数
单核细胞计数	单核细胞计数
胆红素	胆红素
胆碱酯酶	胆碱酯酶
蛋白	尿蛋白
蛋白(手工)	尿蛋白
蛋白定性	尿蛋白
蛋白质	尿蛋白
低密度脂蛋白胆固醇	低密度脂蛋白胆固醇
滴虫	滴虫
淀粉酶	淀粉酶
急诊淀粉酶	淀粉酶
丁胺卡那霉素	丁胺卡那霉素
厄他培南	厄他培南
厄它培南	厄他培南
PCO2	二氧化碳分压【PCO2】
二氧化碳分压	二氧化碳分压【PCO2】
二氧化碳结合力	二氧化碳结合力
T-CO2	二氧化碳总量
非鳞状上皮细胞	非鳞状上皮细胞
肥达氏反应A	肥达氏反应A
肥达氏反应B	肥达氏反应B
肥达氏反应C	肥达氏反应C
肥达氏反应H	肥达氏反应H
肥达氏反应O	肥达氏反应O
AaDO2	肺泡动脉氧分压【AaDO2】
肺泡动脉氧分压	肺泡动脉氧分压【AaDO2】
肺炎支原体抗体IgM(乳胶法)	肺炎支原体抗体IgM(乳胶法)
粪白细胞	粪白细胞
粪不消化食物	粪不消化食物
粪红细胞	粪红细胞
粪巨噬细胞	粪巨噬细胞
粪血液	粪血液
粪颜色	粪颜色
粪隐血	粪隐血
粪硬度	粪硬度
粪粘度	粪粘度
粪转铁蛋白	粪转铁蛋白
风疹病毒IgG	风疹病毒IgG
风疹病毒IgM	风疹病毒IgM
呋喃妥因	呋喃妥因
复方新诺明	复方新诺明
腹水氯化物	腹水氯化物
腹水葡萄糖	腹水葡萄糖
腹透液蛋白	腹透液蛋白
腹透液透明度	腹透液透明度
Ca	钙
iCa2+	钙
nCa2+	钙
标准化离子钙值	钙
钙	钙
离子钙	钙
甘胆酸	甘胆酸
甘油三酯	甘油三酯
高密度脂蛋白胆固醇	高密度脂蛋白胆固醇
FMetHb	高铁血红蛋白【FMetHb】
MetHb	高铁血红蛋白【FMetHb】
高铁血红蛋白	高铁血红蛋白【FMetHb】
睾酮(T)	睾酮(T)
SO2(C)	功能性氧饱和度计算值
功能性氧饱和度计算值	功能性氧饱和度计算值
骨钙素N端中分子片段(N-MID)	骨钙素N端中分子片段(N-MID)
钴胺素B12(VB12)	钴胺素B12
管型	管型
管型计数(仪器)	管型
管型(手工)	管型
胱抑素C	胱抑素C
INR	国际标准化比值
国际标准化比值	国际标准化比值
凝血酶原时间国际标准化比值	国际标准化比值
含铁血黄素	含铁血黄素
红霉素	红霉素
红细胞比积	红细胞比积
红细胞比容	红细胞比积
红细胞压积(%)	红细胞比积
红细胞变形指数	红细胞变形指数
ESR	红细胞沉降率
红细胞沉降率	红细胞沉降率
血沉(MM/H)	红细胞沉降率
红细胞电泳指数	红细胞电泳指数
红细胞分布宽度	红细胞分布宽度
RDW	红细胞分布宽度
RDW-CV	红细胞分布宽度
红细胞刚性指数	红细胞刚性指数
红细胞计数	红细胞计数
红细胞聚集指数	红细胞聚集指数
红细胞信息	红细胞信息
红细胞血红蛋白	红细胞血红蛋白
RI	呼吸指数
呼吸指数	呼吸指数
环丙沙星	环丙沙星
黄疸	黄疸
APTT	活化部分凝血活酶时间（APTT）
活化部分凝血活酶时间	活化部分凝血活酶时间（APTT）
部分凝血活酶时间	活化部分凝血活酶时间（APTT）
高敏肌钙蛋白I(cTnI)	肌钙蛋白
肌钙蛋白	肌钙蛋白
高敏肌钙蛋白I	肌钙蛋白
肌酐	肌酐
肌红蛋白	肌红蛋白
肌红蛋白测定	肌红蛋白
肌红蛋白(Myo)	肌红蛋白
肌酸磷酸激酶	肌酸磷酸激酶(CKMB)
肌酸磷酸激酶同功酶	肌酸磷酸激酶(CKMB)
肌酸磷酸激酶(CKMB)	肌酸磷酸激酶(CKMB)
肌酸磷酸激酶(CKMB质量法)	肌酸磷酸激酶(CKMB)
肌酸磷酸激酶CKMB	肌酸磷酸激酶(CKMB)
肌酸磷酸激酶MB	肌酸磷酸激酶(CKMB)
畸形红细胞	畸形红细胞
甲胎蛋白	甲胎蛋白
甲胎蛋白(AFP)	甲胎蛋白
甲胎蛋白异质体	甲胎蛋白异质体
HAV-IgM	甲型肝炎病毒抗体IgM
甲型肝炎病毒抗体IgM	甲型肝炎病毒抗体IgM
甲状旁腺素	甲状旁腺素PTH
甲状旁腺素PTH	甲状旁腺素PTH
甲状腺过氧化物酶抗体(TPOAb)	甲状腺过氧化物酶抗体(TPOAb)
甲状腺球蛋白(Tg)	甲状腺球蛋白(Tg)
甲状腺素(TT4)	甲状腺素(TT4)
甲状腺素(T4)	甲状腺素(TT4)
钾	钾
K+	钾
钾离子	钾
δ胆红素	间接胆红素
间接胆红素	间接胆红素
碱性磷酸酶	碱性磷酸酶
浆细胞	浆细胞百分比
浆细胞%	浆细胞百分比
降钙素hCT	降钙素
降钙素CT	降钙素
酵母菌	酵母菌
TBDNA	结核杆菌DNA
结核杆菌DNA	结核杆菌DNA
结晶	结晶
解脲支原体培养药敏	解脲支原体培养药敏
巨核细胞	巨核细胞
CMV-IgG	巨细胞病毒IgG抗体
巨细胞病毒IgG抗体	巨细胞病毒IgG抗体
CMV-IgM	巨细胞病毒IgM抗体
巨细胞病毒IgM抗体	巨细胞病毒IgM抗体
抗"0"	抗"0"
抗ENA	抗ENA
抗ENA抗体 JO-1	抗ENA抗体JO-1
抗ENA抗体JO-1	抗ENA抗体JO-1
抗ENA抗体 RNP	抗ENA抗体RNP
抗ENA抗体RNP	抗ENA抗体RNP
抗ENA抗体 Scl-70	抗ENA抗体Scl-70
抗ENA抗体Scl-70	抗ENA抗体Scl-70
抗ENA抗体 Sm	抗ENA抗体Sm
抗ENA抗体Sm	抗ENA抗体Sm
抗ENA抗体 SS-A	抗ENA抗体SS-A
抗ENA抗体SS-A	抗ENA抗体SS-A
抗ENA抗体 SS-B	抗ENA抗体SS-B
抗ENA抗体SS-B	抗ENA抗体SS-B
抗HIV(1+2)	抗HIV(1+2)抗体
抗HIV(1+2)抗体	抗HIV(1+2)抗体
抗PM-Scl	抗PM-Scl
抗RO-52蛋白抗体	抗RO-52蛋白抗体
抗β2-糖蛋白1抗体	抗β2糖蛋白1
抗ss-DNA	抗单链DNA
抗单链-DNA	抗单链DNA
抗单链DNA抗体	抗单链DNA
PR3-ANCA	抗蛋白酶3抗体（PR3）
抗蛋白酶3抗体IgG	抗蛋白酶3抗体（PR3）
抗肺支原体IgM	抗肺支原体IgM
抗肝肾微粒体抗体	抗肝肾微粒体抗体
抗肝细胞溶质抗原Ⅰ抗体	抗肝细胞溶质抗原Ⅰ抗体
抗弓形虫IgG	抗弓形虫IgG
抗弓形虫IgM	抗弓形虫IgM
抗谷氨酸脱羧酶抗体	抗谷氨酸脱羧酶抗体
抗核抗体	抗核抗体
抗核膜糖蛋白210抗体	抗核膜糖蛋白210抗体
抗核糖体抗体	抗核糖体抗体
抗核提取物抗体	抗核提取物抗体
抗核小体抗体	抗核小体抗体
抗环瓜氨酸肽抗体	抗环瓜氨酸肽抗体
抗甲状腺球蛋白抗体(TGAb)	抗甲状腺球蛋白抗体(TGAb)
抗结核杆菌抗体	抗结核杆菌抗体
抗结核杆菌抗体IgG	抗结核杆菌抗体IgG
抗结核杆菌抗体IgM	抗结核杆菌抗体IgM
抗可溶性肝抗原／肝胰抗原抗体	抗可溶性肝抗原／肝胰抗原抗体
抗可溶性酸性核蛋白抗体	抗可溶性酸性核蛋白抗体
抗平滑肌抗体	抗平滑肌抗体
抗肾小球基底膜抗体	抗肾小球基底膜抗体
抗ds-DNA	抗双链DNA
抗双链-DNA	抗双链DNA
抗双链DNA抗体	抗双链DNA
抗髓过氧化物酶抗体	抗髓过氧化物酶抗体（MPO）
抗线粒体BPO抗体	抗线粒体BPO抗体
抗线粒体M2抗体	抗线粒体M2抗体
抗线粒体抗体	抗线粒体抗体
抗心磷脂抗体	抗心磷脂抗体
抗胰岛素抗体	抗胰岛素抗体
抗幽门螺杆菌(全菌)	抗幽门螺杆菌(全菌)
抗幽门螺杆菌（全菌）	抗幽门螺杆菌(全菌)
抗幽门螺杆菌IgG(CIM)	抗幽门螺杆菌IgG(CIM)
抗幽门螺杆菌IgG(全菌)	抗幽门螺杆菌IgG(全菌)
抗早幼粒细胞白血病蛋白抗体	抗早幼粒细胞白血病蛋白抗体
抗增殖细胞核抗原抗体	抗增殖细胞核抗原抗体
抗组蛋白抗体	抗组蛋白抗体
柯萨病毒抗体IGM	柯萨病毒抗体IGM
柯萨病毒抗原	柯萨病毒抗原
喹奴普汀/达福普汀	喹努普汀/达福普汀
类风湿因子	类风湿因子
类凤湿因子	类风湿因子
类风湿因子IgA	类风湿因子IgA
类风湿因子IgG	类风湿因子IgG
类风湿因子IgM	类风湿因子IgM
利福平	利福平
链霉素2000	链霉素2000
LYM%	淋巴细胞百分比
淋巴细胞	淋巴细胞百分比
LYM#	淋巴细胞计数
淋巴细胞计数	淋巴细胞计数
淋病奈瑟菌培养	淋病奈瑟菌培养
磷	磷
鳞状上皮细胞	鳞状上皮细胞
流式细胞CD64指数	流式细胞CD64指数
Cl	氯
Cl-	氯
氯	氯
氯离子	氯
氯洁霉素	氯洁霉素
氯霉素	氯霉素
TRUST	梅毒甲苯胺红不加热血清试验TRUST
梅毒甲苯胺红不加热血清试验(TRUST)	梅毒甲苯胺红不加热血清试验TRUST
梅毒甲苯胺红不加热血清试验TRUST	梅毒甲苯胺红不加热血清试验TRUST
梅毒血浆反应素(TRUST)	梅毒甲苯胺红不加热血清试验TRUST
梅毒抗体	梅毒抗体
梅毒抗体(TPPA)	梅毒抗体
梅毒抗体(化学发光法)	梅毒抗体
RPR	梅毒血浆反应素（RPR）
RPR滴度	梅毒血浆反应素（RPR）
梅毒抗体RPR	梅毒血浆反应素（RPR）
梅毒血浆反应素(RPR)	梅毒血浆反应素（RPR）
霉菌	霉菌
镁	镁
门冬氨酸氨基转移酶	门冬氨酸氨基转移酶
莫西沙星	莫西沙星
Na	钠
Na+	钠
钠	钠
钠离子	钠
MRS	耐甲氧西林金黄色葡萄球菌
MRSA	耐甲氧西林金黄色葡萄球菌
脑脊液Alb	脑脊液Alb
脑脊液IgA	脑脊液IgA
脑脊液IGG	脑脊液IgG
脑脊液IgM	脑脊液IgM
脑脊液白细胞数	脑脊液白细胞数
脑脊液蛋白	脑脊液蛋白
脑脊液寡克隆带电泳	脑脊液寡克隆带电泳
脑脊液氯化物	脑脊液氯化物
脑脊液葡萄糖	脑脊液葡萄糖
脑脊液透明度	脑脊液透明度
脑脊液细胞总数	脑脊液细胞总数
脑脊液颜色	脑脊液颜色
脑脊液有核细胞数	脑脊液有核细胞数
内毒素定量	内毒素定量
N-乙酰-β-D-氨基葡萄糖苷酶	尿N-乙酰-β-D-氨基葡萄糖苷酶
尿β2微球蛋白	尿β2微球蛋白
尿白蛋白	尿白蛋白
尿白蛋白/尿肌酐	尿白蛋白/尿肌酐
白细胞(手工)	尿白细胞计数（WBC）
白细胞计数(仪器)	尿白细胞计数（WBC）
尿沉渣白细胞	尿沉渣白细胞
尿沉渣红细胞	尿沉渣红细胞
尿胆原	尿胆原
尿蛋白	尿蛋白
尿蛋白/尿肌酐	尿蛋白/尿肌酐
尿淀粉酶	尿淀粉酶
尿钙/尿肌酐	尿钙/尿肌酐
红细胞	尿红细胞计数
红细胞(手工)	尿红细胞计数
RBC	红细胞计数
红细胞计数(仪器)	尿红细胞计数
尿肌酐	尿肌酐
尿钾	尿钾
尿中结晶	尿结晶
尿量	尿量
尿磷	尿磷
尿氯	尿氯
IgGu	尿免疫球蛋白G
尿免疫球蛋白G	尿免疫球蛋白G
尿钠	尿钠
尿尿素	尿尿素
尿葡萄糖	尿葡萄糖
K	尿轻链κ
K游离	尿轻链κ
尿轻链κ	尿轻链κ
L	尿轻链λ
尿轻链λ	尿轻链λ
Lam	尿轻链λ
L游离	尿轻链λ
尿妊娠试验	尿妊娠试验
尿渗透压	尿渗透压
尿素	尿素
尿酸	尿酸
尿铜	尿铜
微量白蛋白	尿微量白蛋白
尿微量白蛋白/尿肌酐	尿微量白蛋白/尿肌酐
尿微量蛋白	尿微量蛋白
尿FDP	尿纤维蛋白(原)降解产物
尿纤维蛋白(原)降解产物	尿纤维蛋白(原)降解产物
TT	凝血酶时间（TT）
凝血酶时间	凝血酶时间（TT）
PT	凝血酶原时间（PT）
凝血酶原时间	凝血酶原时间（PT）
疟原虫	疟原虫
呕吐物隐血	呕吐物隐血
哌拉西林/他唑巴坦	哌拉西林/他唑巴坦
膀胱肿瘤抗原	膀胱肿瘤抗原
皮质醇(上午8:00)	皮质醇(上午8:00)
皮质醇(F)上午8:00	皮质醇(上午8:00)
皮质醇(F)下午16:00	皮质醇(下午16:00)
皮质醇(下午16:00)	皮质醇(下午16:00)
MCV	平均红细胞体积（MCV）
平均红细胞体积	平均红细胞体积（MCV）
MCH	平均红细胞血红蛋白含量（MCH）
平均红细胞血红蛋白含量	平均红细胞血红蛋白含量（MCH）
MCHC	平均红细胞血红蛋白浓度（MCHC）
平均红细胞血红蛋白浓度	平均红细胞血红蛋白浓度（MCHC）
MPV	平均血小板体积（MPV）
平均血小板体积	平均血小板体积（MPV）
葡萄糖	葡萄糖
空腹葡萄糖	葡萄糖
Glu	葡萄糖
前白蛋白	前白蛋白
前列腺特异抗原	前列腺特异抗原
青霉素	青霉素
青霉素G	青霉素G
H+	氢离子浓度【H+】
氢离子浓度	氢离子浓度【H+】
清洁度	清洁度
庆大霉素	庆大霉素
庆大霉素500	庆大霉素500
球蛋白	球蛋白
球杆菌比例	球杆菌比例
FHHb	去氧血红蛋白【FHHb】
去氧血红蛋白	去氧血红蛋白【FHHb】
tCO2(B)	全血二氧化碳总浓度【tCO2(B)】
全血二氧化碳总浓度	全血二氧化碳总浓度【tCO2(B)】
全血还原粘度(低切)	全血还原粘度(低切)
全血还原粘度(高切)	全血还原粘度(高切)
全血还原粘度(中切)	全血还原粘度(中切)
全血粘度:低切(mPa.s)|10(1/s)	全血粘度:低切(mPa.s)|10(1/s)
全血粘度:高切(mPa.s)|150(1/s)	全血粘度:高切(mPa.s)|150(2/s)
全血粘度:中切(mPa.s)|60(1/s)	全血粘度:中切(mPa.s)|60(1/s)
醛固酮(ALD)卧位	醛固酮(ALD)卧位
醛固酮(ALD)站位	醛固酮(ALD)站位
醛固酮(ALD)立位	醛固酮(ALD)站位
人类白细胞抗原-B27	人类白细胞抗原-B27
人型支原体培养药敏	人型支原体培养药敏
绒毛膜促性腺激素	绒毛膜促性腺激素
溶血	溶血
乳糜试验	乳糜试验
Lac	乳酸
乳酸	乳酸
乳酸脱氢酶	乳酸脱氢酶
乳酸脱氢酶同功酶1	乳酸脱氢酶同功酶1
乳酸脱氢酶同功酶2	乳酸脱氢酶同功酶2
乳酸脱氢酶同功酶3	乳酸脱氢酶同功酶3
乳酸脱氢酶同功酶4	乳酸脱氢酶同功酶4
乳酸脱氢酶同功酶5	乳酸脱氢酶同功酶5
三碘甲状腺原氨酸	三碘甲状腺原氨酸
三碘甲状腺原氨酸(T3)	三碘甲状腺原氨酸
三碘甲状腺原氨酚	三碘甲状腺原氨酸
D1尘螨	删除
D2粉螨	删除
ds1尘螨组合(屋尘螨/粉尘螨)	删除
e1猫毛	删除
e2狗上皮	删除
f13花生	删除
f14黄豆	删除
f1鸡蛋白	删除
f23蟹	删除
f24虾/对虾	删除
f27牛肉	删除
f2牛奶	删除
f88羊肉/羊羔肉	删除
fs33海鱼组合(鳕鱼/龙虾/扇贝)	删除
fs34淡水鱼组合(鲑鱼/鲈鱼/鲤鱼)	删除
h1屋尘	删除
I6蟑螂	删除
IgGAM	删除
T11梧桐	删除
T14风杨	删除
ts20树组合(柳树/杨树/榆树)	删除
u80律草	删除
w1普通豚草	删除
w6艾蒿	删除
标本备注	删除
标本情况	删除
标本说明	删除
查见	删除
大豆	删除
大米	删除
蛋清/蛋黄	删除
鸡肉	删除
结果1	删除
律草	删除
猫或狗毛发皮屑	删除
蘑菇	删除
牛奶	删除
牛肉	删除
提示	删除
西红柿	删除
吸入及食物过敏原	删除
虾	删除
小麦	删除
蟹	删除
鳕鱼	删除
玉米	删除
猪肉	删除
上皮细胞	上皮细胞
上皮细胞(手工)	上皮细胞
上皮细胞数(仪器)	上皮细胞
肾素(Renin)卧位	肾素(Renin)卧位
肾素(Renin)站位	肾素(Renin)站位
肾素活性(RA)立位	肾素活性(RA)立位
肾素活性(RA)卧位	肾素活性(RA)卧位
肾小球滤过率(MDRD公式)	肾小球滤过率(MDRD公式)
生长激素(GH)	生长激素(GH)
AB	实际碳酸氢盐浓度【HCO3-(act)】
cHCO3	实际碳酸氢盐浓度【HCO3-(act)】
HCO3-(act)	实际碳酸氢盐浓度【HCO3-(act)】
实际碳酸氢盐浓度	实际碳酸氢盐浓度【HCO3-(act)】
视黄醇结合蛋白	视黄醇结合蛋白
BASO#	嗜碱粒细胞计数
嗜碱粒细胞计数	嗜碱粒细胞计数
BASO%	嗜碱性粒细胞百分比（BASO%）
嗜碱粒细胞	嗜碱性粒细胞百分比（BASO%）
EO#	嗜酸粒细胞计数
嗜酸粒细胞计数	嗜酸粒细胞计数
嗜酸性分叶核	嗜酸性分叶核
嗜酸性杆状核	嗜酸性杆状核
EO%	嗜酸性粒细胞百分比（EO%）
嗜酸粒细胞	嗜酸性粒细胞百分比（EO%）
嗜酸性晚幼粒细胞	嗜酸性晚幼粒细胞
嗜中性分叶核	嗜中性分叶核
嗜中性杆状核	嗜中性杆状核
嗜中性晚幼粒细胞	嗜中性晚幼粒细胞
嗜中性中幼粒细胞	嗜中性中幼粒细胞
四环素	四环素
苏丹三染色	苏丹三染色
酸碱度	酸碱度
COHb	碳氧血红蛋白【FCOHb】
FCOHb	碳氧血红蛋白【FCOHb】
碳氧血红蛋白	碳氧血红蛋白【FCOHb】
ALBGA	糖化白蛋白
GA	糖化白蛋白
糖化白蛋白	糖化白蛋白
糖化血红蛋白	糖化血红蛋白
糖化血清蛋白	糖化血清蛋白
替加环素	替加环素
AST线粒体同工酶	天冬氨酸氨基转移酶线粒体同工酶
天冬氨酸基转移酶线粒体同工酶	天冬氨酸氨基转移酶线粒体同工酶
铁蛋白	铁蛋白
同型半胱氨酸	同型半胱氨酸
铜	铜
铜蓝蛋白	铜蓝蛋白
酮体	酮体
头孢吡肟	头孢吡肟
头孢泊肟	头孢泊肟
头孢曲松	头孢曲松
头孢噻肟	头孢噻肟
头孢他啶	头孢他啶
头孢替坦	头孢替坦
头孢唑啉	头孢唑啉
透明度	透明度
血清透明质酸(HA)	透明质酸(HA)
涂片查毛囊虫	涂片查毛囊虫
涂片革兰氏染色	涂片革兰氏染色
妥布霉素	妥布霉素
晚幼红细胞	晚幼红细胞
万古霉素	万古霉素
RET%	网织红细胞百分比（RET%）
